"filename", "language", "HTML", "JSON", "JavaScript", "Markdown", "XML", "JavaScript JSX", "SCSS", "comment", "blank", "total"
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\eslint.config.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\package-lock.json", "JSON", 0, 5291, 0, 0, 0, 0, 0, 0, 1, 5292
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 8, 60
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\CommentSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 246, 0, 0, 20, 266
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\LoginModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 248, 0, 0, 13, 261
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 151, 0, 1, 10, 162
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 291, 0, 0, 21, 312
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\Upload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\VideoList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 225, 0, 0, 11, 236
"d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone\src\assets\Icons\components\VideoPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 5, 120
