Date : 2025-06-23 23:36:10
Directory : d:\VScode\FrontEnd\ReactJS\Practice\tiktok-clone
Total : 171 files,  18105 codes, 319 comments, 2411 blanks, all 20835 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        102 |      8,596 |        194 |      1,546 |     10,336 |
| JSON           |          2 |      5,330 |          0 |          2 |      5,332 |
| SCSS           |         56 |      4,062 |        124 |        849 |      5,035 |
| XML            |          7 |         57 |          0 |          5 |         62 |
| JavaScript     |          2 |         42 |          1 |          4 |         47 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        171 |     18,105 |        319 |      2,411 |     20,835 |
| . (Files)                                                                                                                       |          6 |      5,390 |          1 |         11 |      5,402 |
| public                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                             |        164 |     12,714 |        318 |      2,400 |     15,432 |
| src (Files)                                                                                                                     |          2 |         61 |          2 |         11 |         74 |
| src\assets                                                                                                                      |         58 |      4,730 |         69 |        768 |      5,567 |
| src\assets (Files)                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| src\assets\Icons                                                                                                                |          9 |      1,454 |          1 |         94 |      1,549 |
| src\assets\Icons (Files)                                                                                                        |          1 |         83 |          0 |          7 |         90 |
| src\assets\Icons\components                                                                                                     |          8 |      1,371 |          1 |         87 |      1,459 |
| src\assets\images                                                                                                               |          2 |         46 |          0 |          2 |         48 |
| src\assets\styles                                                                                                               |         46 |      3,229 |         68 |        672 |      3,969 |
| src\assets\styles\base                                                                                                          |          3 |        169 |          9 |         49 |        227 |
| src\assets\styles\components                                                                                                    |         41 |      3,031 |         59 |        616 |      3,706 |
| src\assets\styles\components (Files)                                                                                            |         28 |      1,999 |         39 |        393 |      2,431 |
| src\assets\styles\components\CommentSide                                                                                        |          3 |        337 |          0 |         75 |        412 |
| src\assets\styles\components\Modals                                                                                             |          6 |        332 |         13 |         66 |        411 |
| src\assets\styles\components\Modals (Files)                                                                                     |          2 |          0 |          0 |          2 |          2 |
| src\assets\styles\components\Modals\ui                                                                                          |          4 |        332 |         13 |         64 |        409 |
| src\assets\styles\components\Modals\ui (Files)                                                                                  |          2 |         89 |          0 |         19 |        108 |
| src\assets\styles\components\Modals\ui\ProfileEditor                                                                            |          2 |        243 |         13 |         45 |        301 |
| src\assets\styles\components\Profile                                                                                            |          3 |        228 |          7 |         54 |        289 |
| src\assets\styles\components\pages                                                                                              |          1 |        135 |          0 |         28 |        163 |
| src\assets\styles\components\pages\Upload                                                                                       |          1 |        135 |          0 |         28 |        163 |
| src\assets\styles\layouts                                                                                                       |          2 |         29 |          0 |          7 |         36 |
| src\components                                                                                                                  |         35 |      3,733 |         83 |        749 |      4,565 |
| src\components (Files)                                                                                                          |          7 |        505 |         25 |        109 |        639 |
| src\components\CommentSide                                                                                                      |          3 |        632 |         24 |        114 |        770 |
| src\components\GlobalStyle                                                                                                      |          1 |          8 |          0 |          1 |          9 |
| src\components\Modals                                                                                                           |         13 |      1,451 |          9 |        288 |      1,748 |
| src\components\Modals (Files)                                                                                                   |          3 |         50 |          0 |         17 |         67 |
| src\components\Modals\ui                                                                                                        |         10 |      1,401 |          9 |        271 |      1,681 |
| src\components\Modals\ui (Files)                                                                                                |          2 |         53 |          0 |         22 |         75 |
| src\components\Modals\ui\AuthModal                                                                                              |          6 |        853 |          0 |        151 |      1,004 |
| src\components\Modals\ui\ProfileEditor                                                                                          |          2 |        495 |          9 |         98 |        602 |
| src\components\Profile                                                                                                          |          3 |        226 |          8 |         41 |        275 |
| src\components\Tooltip                                                                                                          |          2 |         80 |          0 |         16 |         96 |
| src\components\VideoList                                                                                                        |          6 |        831 |         17 |        180 |      1,028 |
| src\config                                                                                                                      |          2 |         15 |          0 |          3 |         18 |
| src\constants                                                                                                                   |          1 |         57 |          0 |          8 |         65 |
| src\contexts                                                                                                                    |          5 |        360 |          5 |         72 |        437 |
| src\contexts (Files)                                                                                                            |          1 |        153 |          5 |         34 |        192 |
| src\contexts\UIContext                                                                                                          |          2 |         58 |          0 |         16 |         74 |
